reg_c_strediska,nazev_strediska,nazev_oddilu,reg_c_manualne
?,Axinit Brno,89. oddíl,622.25
35,Vrbovec,Klub oldskautů,622.24
20A1A,Lesní moudrost Dobřichovice,NA,21A.02
2,Dvojka Brno,Nezmaři,622.02
13,Hiawatha,NA,622.13
7,Blaník,Protěž,114.07
426.07,Devětsil,NA,324.07
6,"Junák - český skaut, středisko A je to! Brno, z. s. ",Červánek,622.06
8.,Milana Genserka,Astry,622.08
118,Stopaři,NA,118.52
5. Středisko Liberec,Mustang,Čtveráci,513.05
622,Středisko Milana Genserka Brno,Astry,622.08
621,Boskovice,NA,621.03
7,Blaník,NA,114.07
15,Kompas,NA,622.15
5.,Mustang Liberec,vlčata,513.05
24,Vrbovec,Panteři,622.24
15,Kompas,Allium,622.15
96.,Středisko Scarabeus,NA,11A.96
96,Scarabeus,Hesperia,11A.96
6,dvanáctka,NA,712.06
311.03 - středisko Walden České Budějovice,"Junák – český skaut, středisko Walden České Budějovice, z. s.",10. skautský oddíl České Budějovice,311.03
332.05,Javor Klatovy,NA,322.05
621.003,Boskovice,Minetaka,621.03
4,Ichthys,Poutníci,323.04
7,Blaník,Mayove,114.07
34,Ostříž,66,114.34
116,Středisko Šipka Praha,NA,116.22
622:12,Středisko Královo Pole Brno,Dívčí trojka Brno,622.12
VSP/1-1366/90-R,Srdce na dlani,Kondor,621.01
15,Kompas,Nika,622.15
513,Stopa Liberec,21. Oddil,513.04
11.,středisko pplk.Vally,NA,116.11
71206,"6. středisko ""Dvanáctka"" Olomouc z. s.",Racci,712.06
4,Boskovice,NA,621.03
24,Vrbovec,Panteři,622.24
34.145,34 středisko Ostříž,145 roverský kmen,114.34
49 77 79 71,středisko 5. květen,33. Oddíl Šíp,323.03
5. středisko Modřany,zugug,NA,114.05
10,Bílá hvězda,NA,116.10
11. středisko,"Junák - český skaut, středisko Pplk. Vally Praha, z. s.",Stopaři,116.11
42302,Říp Roudnice nad Labem,NA,423.02
67,Prosek Praha,Vlaštovky,119.67
21603,"Junák- český skaut, středisko Kostelec nad Labem,z.s.",NA,216.03
6,6. skautské středisko Zlín,Medvědice,724.06
92,Středisko šípů,NA,11A.92
Písek 1,Šipka,Albatros Písek,314.01
34,ostříž,NA,114.34
116.10.,Bílá Hora,NA,116.10
89 doufám,Bílý Albatros,NA,115.85
11299,Arcus,53. oddíl Potkani,112.99
814. 06,Odry,Omnia Spálov,814.06
112.002,Dvojka Praha,Pražská Dvojka,112.02
???,Štika Turnov,Chobotnice,514.02
73,Javor,NA,116.73
"814,06","Junák-český skaut, středisko Odry, z.s.",Omnia,814.06
712.13.013,Šternberk,Medvědi,712.13
81202,Středisko Kruh Frýdek-Místek,Kmen Dospělých Freever,812.02
4,Sojčáci Děčín,NA,421.04
1,Kalich,Širokko,317.01
10,Mafeking,Bílé kytky,622.10
604 469 27,"7. středisko Blaník Praha, z. s.",NA,114.07
11A77,Rod Sovy,Káňata,11A.77
1.,Kalich,NA,317.01
21207,Balvan Rudná,NA,212.07
15,Kompas,NA,622.15
522,"Junák-český skaut, středisko Brána Jičín, z.s.",NA,522.01
513.10.0105,maják Liberec,NA,513.10
214/07,Středisko Ing. Ládi Nováka Český Brod,NA,214.07
624.01.,Středisko Svatopluk Břeclav,Plamen,624.01
621.04.,"Junák-česky skaut, středisko Erb, z.s.",Slunce,621.04
17,Athabaska,Vlčata Kbely,119.17
21204,"Junák - český skaut, středisko Radost a Naděje Beroun, z. s.",RS,212.04
62504,Ratíškovice,Squaw,625.04
72301,Středisko Vsetín,Lvíčata,723.01
27,středisko Oheň Horní Počernice,NA,119.27
7,Blaník,Mayové,114.07
61502,"středisko Bílý štít, Nové Město na Moravě",Naděje,615.02
614 .01,"Junák český skaut, středisko Srdíčko Třebíč, z.s.",NA,614.01
602.28,Brána,NA,622.28
41.,Maják,Ignis,112.47
15,Kompas,NA,622.15
5.,Střela Plzeň,52. Oddíl Žlutá střelka,323.05
85,Bily albatros,Argyroneta,115.85
816.08.001,VIRIBUS UNITIS,Albatros Vřesina,816.08
"427,02",středisko Šíp Neštěmice,NA,427.02
28,Brána Brno,NA,622.28
Netuším,Ignis Brno,NA,622.09
6,6.skautské středisko Zlín,Albion,724.06
Netuším,Omaha Radnice,NA,326.03
92,Oheň,NA,119.27
674.01,Středisko Srdíčko,NA,614.01
213,Modrý kruh,Stopaři,213.05
15,Kompas,Nika,622.15
7,Blaník,NA,114.07
28,Brána,NA,622.28
19,středisko Ladislava Ruska,Velká Bystřice a Hlubočky,712.19
5,5. Středisko J. E. Kosiny,NA,712.05
16,16. středisko DUHA,NA,622.16
62315,Skautské středisko Květnice Tišnov,Bobův,623.15
.,Stopa Liberec,Stopa,513.04
Nevím,Psohlavci,Mustangové,722.01
62401,Svatopluk,NA,624.01
674.01,Srdicko Trebic,NA,614.01
1,Kyjov,NA,625.02
15,Kompas,NA,622.15
52.,Stopaři,zBoží,118.52
526. 04,středisko Kukleny Hradec Králové,1. dívčí oddíl,526.04
Nevim,Bílý javor,Ústecká dvojka,427.01
96.,Scarabeus,Hesperia,11A.96
219:04,Středisko WILLI Líbeznice,NA,219.04
3,Walden,3. Oddíl Flóra,311.03
12,Modrá Želva Ratboř,Mýzetky,214.12
12,Modrá Želva Ratboř,Mýzetky,214.12
24,Středisko Vrbovec,Poštolky,622.24
77,Rod Sovy,Káňata,11A.77
320,Středisko Palcát Dnešice,NA,324.03
512.00,středisko Jablonec na Nisou,4. oddíl vodních skautů a skautek,512.01
Nevim,Středisko Český lev Chomutov,NA,422.01
52201,Brána Jičín,NA,522.01
724.09.001,"Junák - český skaut, středisko Jerry Hodného Napajedla",NA,724.09
211.03.003,Stredisko Kamenice,3. Smiseny skautsky oddil v Tynci nad Sazavou Tysan,211.03
Nevím,Středisko Vranovice,ESOX Rosice,623.31
28,Brána,70.Bo,622.28
nevím):,Hiawatha,NA,115.56
814-01,"Junák - český skaut, středisko Pagoda Nový Jičín, z.s. ",NA,814.01
622-8,středisko Milana Genserka,NA,622.08
622,"Junák - český skaut, středisko Vrbovec Brno, z. s.",OVS Kormorání,622.24
58,Mawadani,NA,115.58
626 01,středisko Vyškov,Kondoři,626.01
15,Kompas,NA,622.15
006,6. Skautske středisko ve Zlíně,NA,724.06
28,Brána,NA,622.28
Nevím,Skautské středisko Perun Litvínov,NA,425.02
35,Vrbovec,NA,622.24
47649861,Stopa,NA,513.04
32101,středisko Jiřinky Paroubkové Domažlice,Bazilišci,321.01
662.16,"	Junák – český skaut, středisko Duha Brno, z. s.",1. oddíl Moravské Knínice,622.16
76,5. květen Radotín,Momentálně zakládáme nový kmen a nemáme název,115.76
