Year;ID_Unit;ID_UnitType;RegistrationNumber;UnitName;Location;RegularMembersTo6;RegularMembersTo15;RegularMembersTo18;RegularMembersTo26;RegularMembersFrom26;RegularMembers;MembersTo6;MembersTo15;MembersTo18;MembersTo26;MembersFrom26;Members
2019;27184;oddil;214.01.002;2. roj svìtlušek Veverky;Kolín;5;25;3;2;2;37;5;25;3;2;2;37
2019;23683;oddil;214.01.006;6. smeèka vlèat Havráòata;Kolín;4;18;1;2;1;26;4;18;1;2;1;26
2019;23684;oddil;214.01.007;7. skautskı oddíl Havrani;Kolín;0;14;3;3;5;25;0;14;3;3;5;25
2019;23685;oddil;214.01.017;17. kmen KD Corvus;Kolín;0;0;0;0;11;11;0;0;0;0;11;11
2019;23686;oddil;214.01.104;104. klub KD Oldi Kolín;Kolín;0;0;0;0;9;9;0;0;0;0;9;9
2019;28524;oddil;214.02.007;Plavèíci;Kolín;5;6;1;2;1;15;5;6;1;2;1;15
2019;23691;oddil;214.02.008;8. oddíl Vydry;Kolín;0;39;2;4;0;45;0;39;2;4;0;45
2019;23692;oddil;214.02.022;22. oddíl Galeje;Kolín;0;13;4;1;1;19;0;13;4;1;1;19
2019;23693;oddil;214.02.271;Old School;Kolín;0;0;0;5;15;20;0;0;0;5;15;20
2019;23699;oddil;214.04.003;LUNY;Starı Kolín;1;10;3;1;3;18;1;10;3;1;3;18
2019;23700;oddil;214.04.018;LIŠÁCI;Starı Kolín;0;13;1;1;2;17;0;13;1;1;2;17
2019;23701;oddil;214.04.204;OLDSKAUTI;Starı Kolín;0;0;0;2;6;8;0;0;0;2;6;8
2019;23703;oddil;214.05.006;Ještìrky a Sıkorky;Èervené Peèky;0;18;0;2;5;25;0;18;0;2;5;25
2019;23704;oddil;214.05.007;Veverky a Váky;Èervené Peèky;0;18;2;3;3;26;0;18;2;3;3;26
2019;23705;oddil;214.05.008;Rosnièky a Vlaštovky;Èervené Peèky;0;20;4;4;2;30;0;20;4;4;2;30
2019;23706;oddil;214.05.009;Pomnìnky a Kopretiny;Èervené Peèky;1;23;10;6;2;42;1;23;10;6;2;42
2019;23707;oddil;214.05.011;Orli a Orlíci;Èervené Peèky;0;16;4;1;5;26;0;16;4;1;5;26
2019;23708;oddil;214.05.012;Bobøi a Vlci;Èervené Peèky;0;17;1;2;8;28;0;17;1;2;8;28
2019;23709;oddil;214.05.013;Kamzíci a Tygøi;Èervené Peèky;0;20;5;5;3;33;0;20;5;5;3;33
2019;23710;oddil;214.05.014;Rysi a Ostøíi;Èervené Peèky;0;26;0;2;2;30;0;26;0;2;2;30
2019;23716;oddil;214.07.001-1;1. smeèka vlèat;Èeskı Brod;0;33;2;8;2;45;0;33;2;8;2;45
2019;23717;oddil;214.07.001-2;1. oddíl skautù;Èeskı Brod;0;13;3;2;5;23;0;13;3;2;5;23
2019;23718;oddil;214.07.001-3;1. roj svìtlušek;Èeskı Brod;1;17;8;7;3;36;1;17;8;7;3;36
2019;23719;oddil;214.07.001-4;Renegades;Èeskı Brod;0;0;2;8;9;19;0;0;2;8;9;19
2019;23720;oddil;214.07.001-5;oddíl skautek;Èeskı Brod;0;11;2;0;3;16;0;11;2;0;3;16
2019;23724;oddil;214.09.005;Vydøíci;Kolín;4;12;1;2;2;21;4;12;1;2;3;22
2019;23725;oddil;214.09.006;Rosnièky;Kolín;0;16;2;0;4;22;0;16;2;0;4;22
2019;23726;oddil;214.09.009;raloci;Kolín;0;8;4;3;1;16;0;8;4;3;1;16
2019;29065;oddil;214.09.025;Rebelové;Radim;0;5;0;0;2;7;0;5;0;0;2;7
2019;23728;oddil;214.09.209;209;Kolín;0;0;0;4;11;15;0;0;0;4;11;15
2019;23730;oddil;214.11.006;Svìtlušky;Kouøim;2;17;1;1;1;22;2;17;1;1;1;22
2019;23731;oddil;214.11.007;Stopa Kouøim;Kouøim;0;9;4;2;2;17;0;9;4;2;2;17
2019;23732;oddil;214.11.008;Vlèata;Kouøim;1;15;0;1;3;20;1;15;0;1;3;20
2019;23733;oddil;214.11.009;Skautky;Kouøim;0;3;2;6;3;14;0;3;2;6;3;14
2019;27594;oddil;214.11.010;Roveøi a Rangers;Kouøim;0;0;0;10;3;13;0;0;0;10;3;13
2019;23734;oddil;214.11.477;Oldskauti;Kouøim;0;0;0;0;10;10;0;0;0;0;10;10
2019;23738;oddil;214.12.001;Jestøábi;Ratboø;0;4;6;3;1;14;0;4;6;3;1;14
2019;23739;oddil;214.12.002;Mızetky;Ratboø;0;18;4;5;1;28;0;18;4;5;1;28
2019;23740;oddil;214.12.003;Vlèata;Ratboø;0;11;2;1;5;19;0;11;2;1;5;19
2019;27866;oddil;214.12.006;Kozoroh;Kozojedy;0;19;3;0;4;26;0;19;3;0;4;26
2019;23741;oddil;214.12.479;479. oddíl;Ratboø;0;0;0;1;17;18;0;0;0;1;17;18
2019;23747;oddil;214.14.001;1. oddíl;Èeskı Brod;4;31;1;7;2;45;4;31;1;7;2;45
2019;23748;oddil;214.14.002;2. oddíl;Èeskı Brod;0;27;5;2;2;36;0;27;5;2;2;36
2019;23749;oddil;214.14.003;3. oddíl;Èeskı Brod;2;69;11;5;4;91;2;69;11;5;4;91
2019;23751;oddil;214.14.481;481. oddíl;Èeskı Brod;0;0;0;0;14;14;0;0;0;0;14;14
2019;23735;oddil;214.15.001;1. oddíl - Svìtlušky;Kostelec n.È.l.;3;23;0;0;4;30;3;24;1;0;4;32
2019;23736;oddil;214.15.002;2. oddíl - Smeèka vlèat;KNÈL;0;21;0;0;4;25;0;21;0;0;4;25
2019;27396;oddil;214.15.008;8. oddíl - Skautky - Kopretiny;Kostelec n.È.l.;0;19;4;2;2;27;0;19;4;2;2;27
2019;27395;oddil;214.15.012;12. oddíl - Skauti - Èerní vlci;Kostelec n.È.l.;0;11;5;1;2;19;0;11;5;1;2;19
2019;23753;oddil;214.19.001;Skauti;Plaòany;0;14;6;2;3;25;0;14;6;2;3;25
2019;23754;oddil;214.19.002;Skautky;Plaòany;0;13;7;1;2;23;0;13;7;1;2;23
2019;23755;oddil;214.19.003;Vlèata;Plaòany;0;20;0;2;1;23;0;20;0;2;1;23
2019;23756;oddil;214.19.006;Svìtlušky;Plaòany;0;16;0;1;2;19;0;16;0;1;2;19
2019;23758;oddil;214.19.484;Oldskauti;Plaòany;0;0;0;4;32;36;0;0;0;4;32;36
2019;23761;oddil;215.01.001;1. oddíl Vlèice;Kutná Hora;5;35;5;11;2;58;5;35;5;11;2;58
2019;23762;oddil;215.01.003;Féfo;Kutná Hora;0;23;0;4;9;36;0;23;0;4;9;36
2019;23763;oddil;215.01.005;5.oddíl Makovice;Kutná Hora;1;22;6;3;5;37;1;22;6;3;8;40
2019;23764;oddil;215.01.007;7.oddíl Jestøábi;Kutná Hora;0;16;8;1;2;27;0;16;8;1;2;27
2019;23765;oddil;215.01.009;Dìti z Údolí èervenıch mrakù;Kutná Hora;0;0;0;1;5;6;0;0;0;1;5;6
2019;28493;oddil;215.01.013;13. oddíl Makolusky, nejspíš ne;Kutná Hora;4;10;0;0;19;33;4;10;0;0;19;33
2019;23767;oddil;215.02.001;Mohykáni;Èáslav;0;28;7;9;1;45;0;28;7;9;1;45
2019;23770;oddil;215.02.004;4. oddíl;Èáslav;0;0;0;1;8;9;0;0;0;1;8;9
2019;28632;oddil;215.02.005;Benjamínci;Æáslav;19;28;0;0;2;49;19;28;1;0;2;50
2019;28646;oddil;215.04.002;RK OTThERS;Kutná Hora;0;0;1;7;2;10;0;0;1;7;2;10
2019;27438;oddil;215.04.017;Vydry;Kutná Hora;0;39;5;0;2;46;0;39;5;0;2;46
2019;23772;oddil;215.04.040;Klub OS;Kutná Hora;0;0;0;1;17;18;0;0;0;1;17;18
2019;28244;oddil;215.04.071;Vydøata;Kutná  Hora;12;1;1;0;1;15;12;2;1;0;1;16
2019;23779;oddil;215.05.053;Vlèata a Skauti;Dolní Buèice;0;17;0;1;5;23;0;17;0;1;5;23
2019;23780;oddil;215.05.054;R+R - Vrdy - Buèice;Dolní Buèice;0;0;4;7;2;13;0;0;4;7;2;13
2019;23781;oddil;215.05.055;Svìtlušky a Skautky;Dolní Buèice;0;13;0;0;2;15;0;13;0;0;2;15
2019;23782;oddil;215.05.056;OS Vrdy - Buèice;Dolní Buèice;0;0;0;0;32;32;0;0;0;0;32;32
2019;23786;oddil;215.06.161-1;1. Koedukovanı;Uhlíøské Janovice;6;18;0;0;1;25;6;18;0;0;1;25
2019;23787;oddil;215.06.261-1;San mariòáci - Roveøi a Rangeres;Uhlíøské Janovice;0;0;1;4;20;25;0;0;1;4;20;25
2019;23788;oddil;215.06.361-1;2. Koedukovanı;Uhlíøské Janovice;0;37;0;0;1;38;0;37;0;0;1;38
2019;23791;oddil;215.07.073-1;Skauti;Ronov nad Doubravou;0;13;2;3;1;19;0;13;2;3;2;20
2019;28320;oddil;215.07.074;Benjamínci;;2;12;0;0;3;17;2;12;0;0;4;18
2019;23792;oddil;215.07.078-1;OS;Ronov nad Doubravou;0;0;0;0;5;5;0;0;0;0;6;6
2019;23795;oddil;216.01.001;CERBERUS;Mìlník;0;0;1;4;6;11;0;0;1;4;6;11
2019;23797;oddil;216.01.002;JITØENKA;Mìlník;0;17;0;1;3;21;0;17;0;1;3;21
2019;23798;oddil;216.01.003;Niobara;Mìlník;0;24;1;2;2;29;0;24;1;2;2;29
2019;23802;oddil;216.03.001;1. oddíl;Kostelec nad Labem;8;29;1;3;4;45;8;29;1;3;4;45
2019;23805;oddil;216.03.002;2. Oddíl;Kostelec nad Labem;1;19;2;1;2;25;1;19;2;1;2;25
2019;23806;oddil;216.03.003;3. oddíl;Kostelec nad Labem;0;2;2;0;12;16;0;2;2;0;12;16
2019;23811;oddil;216.04.002;Taury;Neratovice a okolí;0;45;6;10;3;64;0;45;6;10;3;64
2019;27581;oddil;216.04.004;Fénix;Neratovice a okolí;0;11;2;0;4;17;0;11;2;0;5;18
2019;23843;oddil;216.04.006;Oregon;Neratovice;0;54;7;10;4;75;0;54;7;10;4;75
2019;29491;oddil;216.04.007;Dubová Lišèata;Neratovice a okolí;7;1;0;0;2;10;7;1;0;0;2;10
2019;23815;oddil;216.07.004;Cutty Sark;Libìchov;0;14;1;0;3;18;0;14;1;0;3;18
2019;23816;oddil;216.07.005;Viking;Libìchov;4;12;2;3;2;23;4;12;2;3;2;23
2019;23820;oddil;216.07.616;Kmen dospìlıch;Libìchov;0;0;0;0;8;8;0;0;0;0;8;8
2019;23822;oddil;216.08.001;Atlantida;Neratovice;0;26;8;6;3;43;0;26;8;6;3;43
2019;23823;oddil;216.08.006;Rebelové;Neratovice;0;0;0;0;10;10;0;0;0;0;10;10
2019;23824;oddil;216.08.009;Sobi;Neratovice;0;0;0;3;6;9;0;0;0;3;6;9
2019;23825;oddil;216.08.012;Tuèòáci;Neratovice;0;21;4;6;4;35;0;21;4;6;4;35
2019;23826;oddil;216.08.015;Kariboo;Neratovice;0;16;2;3;4;25;0;16;2;3;5;26
2019;23827;oddil;216.08.033;OSK;Neratovice;0;0;0;0;16;16;0;0;0;0;16;16
2019;23831;oddil;217.01.002;2.oddíl R+R;Mladá Boleslav;0;0;3;7;4;14;0;0;3;7;4;14
2019;23832;oddil;217.01.003;"3.oddíl ""Mustangové""";Mladá Boleslav;0;26;3;1;6;36;0;26;3;1;6;36
2019;23835;oddil;217.01.007;7.oddíl Lišky;Mladá Boleslav;0;22;1;1;0;24;0;22;2;2;1;27
2019;23839;oddil;217.02.002;2. dívèí oddíl Fialky;Benátky nad Jizerou;0;24;5;6;5;40;0;24;5;6;5;40
2019;23840;oddil;217.02.003;3. oddíl vlèat;Benátky nad Jizerou;12;23;0;0;6;41;12;23;0;0;6;41
2019;23842;oddil;217.02.005;5. oddíl skautù;Benátky nad Jizerou;0;9;6;4;3;22;0;9;6;4;3;22
2019;23844;oddil;217.02.007;8. oddíl vodních skautù  Mladá Boleslav;Mladá Boleslav;0;54;7;4;10;75;0;54;7;4;10;75
2019;23853;oddil;217.08.001;Dolní Bousov/Obruby;Dolní Bousov/Obruby;0;14;6;2;4;26;0;14;6;2;4;26
2019;23856;oddil;217.08.004;Breiterùv zelenı list;Rùová 45, Knìmost;2;24;5;5;5;41;2;24;5;5;5;41
2019;23857;oddil;217.08.005;Mn. Hradištì;Mnichovo Hradištì;0;42;16;9;6;73;0;42;16;9;6;73
2019;23859;oddil;217.10.001;1. oddíl Dobrovice;Dobrovice;0;12;0;2;3;17;0;12;0;2;3;17
2019;23860;oddil;217.10.004;Nezmaøi;Mladá Boleslav;0;0;0;0;7;7;0;0;0;0;7;7
2019;23861;oddil;217.10.005;5.oddíl vodních skautek;Mladá Boleslav;2;5;5;0;2;14;2;5;5;0;2;14
2019;23865;oddil;217.11.001;1. oddíl svìtlušek a skautek;Bìlá pod Bezdìzem;0;23;3;3;2;31;0;23;3;3;2;31
2019;23864;oddil;217.11.002;2. oddíl vlèat a skautù;Bìlá pod Bezdìzem;0;22;2;1;4;29;0;22;2;1;4;29
2019;23863;oddil;217.11.005;Klub kmene dospìlıch;Bìlá pod Bezdìzem;0;0;0;1;17;18;0;0;0;1;17;18
2019;23868;oddil;218.01.001;Pony;Nymburk;0;21;2;10;3;36;0;21;2;10;3;36
2019;23869;oddil;218.01.003;Takoty;Nymburk;0;20;0;3;2;25;0;20;0;3;2;25
2019;23871;oddil;218.01.007;Pony Junior;Nymburk;0;16;0;0;4;20;0;16;0;0;4;20
2019;23874;oddil;218.02.002-1;Volavky;Nymburk;0;30;0;3;6;39;0;30;1;3;6;40
2019;23878;oddil;218.02.006;Medùzy;Straky;0;28;3;5;4;40;0;28;3;5;4;40
2019;29503;oddil;218.02.007;Rejnoci;Velkı Osek;3;18;1;3;3;28;3;18;1;3;3;28
2019;29570;oddil;218.02.008;Nokkeni;Tortuga Nymburk;0;3;6;3;0;12;0;4;7;4;1;16
2019;23879;oddil;218.02.098;Klub OS;Nymburk;0;0;0;0;3;3;0;0;0;0;4;4
2019;23881;oddil;218.03.001;1. Oddíl;Lysá nad Labem;0;47;4;1;8;60;0;47;4;1;8;60
2019;23882;oddil;218.03.003;3. Chlapeckı oddíl;Lysá nad Labem;1;33;2;4;4;44;1;33;2;4;4;44
2019;23883;oddil;218.03.004;4. Dívèí oddíl;Lysá nad Labem;1;26;2;2;5;36;1;26;2;2;5;36
2019;29589;oddil;218.03.007;7. Dívèí oddíl;Lysá nad Labem;0;19;1;3;1;24;0;19;1;3;1;24
2019;23884;oddil;218.03.008;8. Oddíl Oldskauti;Lysá nad Labem;0;0;0;0;4;4;0;0;0;0;5;5
2019;23888;oddil;218.04.001-1;1. roj svìtlušek;Mìstec Králové;0;12;0;0;2;14;0;12;0;0;2;14
2019;23890;oddil;218.04.001-3;1. oddíl Bobøíkù;Mìstec Králové;13;6;0;0;4;23;13;6;0;0;4;23
2019;23891;oddil;218.04.024;24. oddíl;Mìstec Králové;0;18;3;6;7;34;0;18;3;6;7;34
2019;23892;oddil;218.04.030;30. oddíl;Mìstec Králové;0;24;3;1;3;31;0;24;3;1;3;31
2019;23894;oddil;218.04.040;klub OS - Medvìdi;Mìstec Králové;0;0;0;1;20;21;0;0;0;1;20;21
2019;23896;oddil;218.07.001-1;1. oddíl;Podìbrady;0;0;0;0;12;12;0;0;0;0;12;12
2019;23898;oddil;218.07.002-1;2. oddíl - Surikaty;Podìbrady;0;28;0;0;3;31;0;28;0;0;3;31
2019;27924;oddil;218.07.002-2;2. oddíl - Beduíni;Podìbrady;0;11;4;5;9;29;0;11;4;5;9;29
2019;23902;oddil;218.07.003-3;3. oddíl - Krokodıli;Podìbrady;1;25;1;4;4;35;1;25;1;4;4;35
2019;23905;oddil;218.07.086;klub oldskautù;Podìbrady;0;0;0;0;16;16;0;0;0;0;16;16
2019;23909;oddil;218.09.003;Severní Hvìzda - skauti a skautky;Sadská;0;17;9;2;7;35;0;17;9;2;7;35
2019;23912;oddil;218.09.009;oldskauti;Sadská;0;0;0;0;5;5;0;0;0;0;5;5
2019;23914;oddil;218.10.001;Amazonky;Nymburk;0;16;5;4;0;25;0;16;5;4;0;25
2019;23915;oddil;218.10.002;Vèelièky;Nymburk;0;21;1;5;1;28;0;21;1;5;1;28
2019;23916;oddil;218.10.003;Tygøíci;Nymburk;0;19;1;3;2;25;0;19;1;3;2;25
2019;23917;oddil;218.10.004;Vorvaò;Nymburk;0;14;8;3;1;26;0;14;8;3;1;26
2019;23918;oddil;218.10.005;Fénix;Nymburk;0;0;0;4;7;11;0;0;0;6;7;13
2019;23923;oddil;219.01.007;Jitøenky;Skautskı srub, Kralupská ul.,Brandıs nad Labem;4;23;6;0;2;35;4;23;6;0;2;35
